country;iso2_code;iso3_code;school_id_giga;school_name;admin1_id_giga;admin2_id_giga;education_level;connectivity;latitude;longitude;school_data_source
Bosnia and Herzegovina;ba;bih;35d4bd58-2db6-311f-bad4-005308e25dbe;PRIVATNA OSNOVNA MUZICKA I BALETSKA SKOLA AMADEUS - ZENICA;BIH002;BIH002004;Other;No;44.19678497314453;17.908660888671875;
Bosnia and Herzegovina;ba;bih;5f433c87-fc63-34f3-820b-5391c88d87ae;"Područna škola ,,Dragovići""- OŠ ,,Vareš";BIH002;BIH002004;Primary;No;44.149173736572266;18.237768173217773;
Bosnia and Herzegovina;ba;bih;4e13faf7-977f-332a-bd0b-8b7c83635d61;"OŠ ""MULA MUSTAFA BAŠESKIJA"" KAKANJ";BIH002;BIH002004;Primary;No;44.16255569458008;18.16463851928711;
Bosnia and Herzegovina;ba;bih;a98e73c5-c2df-3ec1-8c50-165fceec011e;"JU OŠ""OMER MUŠIĆ"" BREŽANI - KAKANJ -CENTRALNA- PŠ ČELIKOVINA";BIH002;BIH002004;Primary;No;44.11473846435547;18.178007125854492;
Bosnia and Herzegovina;ba;bih;d33dd387-371a-385f-bfd4-6780d350ed67;"JU OŠ""OMER MUŠIĆ"" BREŽANI - KAKANJ";BIH002;BIH002004;Primary;Yes;44.108985900878906;18.15916633605957;
Bosnia and Herzegovina;ba;bih;1a8d258e-1e32-3e53-b884-7ea988e3e0e6;"JU OSNOVNA ŠKOLA ""15. APRIL"" DOBOJ-KAKANJ, PODRUČNA ŠKOLA ""Čatići";BIH002;BIH002004;Primary;Yes;44.09764481;18.11891746520996;
Bosnia and Herzegovina;ba;bih;842e2233-cda8-3461-90a1-4eb3eccc2d0a;"JU OŠ""OMER MUŠIĆ"" BREŽANI - KAKANJ -CENTRALNA- PŠ VELIKI TRNOVCI";BIH002;BIH002004;Primary;No;44.1003418;18.158496856689453;
Bosnia and Herzegovina;ba;bih;b85647d5-3572-3ed1-b7b8-7275f4f11beb;JU OSNOVNA MUZIČKA ŠKOLA ZENICA(PODRUČNO ODJELJENJE KAKANJ);BIH002;BIH002004;Primary;Yes;44.13087463378906;18.119632720947266;
Bosnia and Herzegovina;ba;bih;301a819c-2ff5-32f8-93f1-04b49b42f288;"OŠ ""MULA MUSTAFA BAŠESKIJA"" KAKANJ";BIH002;BIH002004;Primary;Yes;44.135841369628906;18.12528419494629;
Bosnia and Herzegovina;ba;bih;5f6e5b79-7155-31f9-9b78-f5d372750180;"JU Gimnazija "" Rizah Odžečkić"" Zavidovići";BIH002;BIH002004;Other;Yes;44.128013610839844;18.117826461791992;
Bosnia and Herzegovina;ba;bih;651380b6-3fd9-3de7-aecb-356b0e2794ec;"JU OSNOVNA ŠKOLA ""15. APRIL"" DOBOJ-KAKANJ"" CENTRALNA ŠKOLA";BIH002;BIH002004;Primary;Yes;44.128013610839844;18.117826461791992;
Bosnia and Herzegovina;ba;bih;73055b5f-bd40-3af8-a124-ec5095c00769;"JU Osnovna škola ""Huso Hodžić"" Tešanj";BIH002;BIH002004;Primary;Yes;44.128013610839844;18.117826461791992;
Bosnia and Herzegovina;ba;bih;705cadad-52f0-365e-b901-8824d83e0855;Javna ustanova Srednja tehnička škola;BIH002;BIH002004;Other;Yes;44.128013610839844;18.117826461791992;
Bosnia and Herzegovina;ba;bih;7420b4b7-1ab4-3336-aa6c-e4818006a2ab;Mustafa Mulic, Sije;BIH002;BIH002004;Primary;Yes;44.128013610839844;18.117826461791992;
Bosnia and Herzegovina;ba;bih;013a8844-d108-3cc6-b8f2-c5a53a61bdba;"OŠ ""Hamdija  Kreševljaković"" Kakanj";BIH002;BIH002004;Primary;Yes;44.12801742553711;18.117834091186523;
Bosnia and Herzegovina;ba;bih;b2a59995-3a03-39fc-9be3-16ceffac3eb0;Mješovita srednja škola Kakanj;BIH002;BIH002004;Secondary;Yes;44.124454498291016;18.117082595825195;
Bosnia and Herzegovina;ba;bih;f01d5e55-11e1-3f9a-9fb7-90f8f566870d;"JU OŠ""OMER MUŠIĆ"" BREŽANI - KAKANJ -CENTRALNA- PŠ NAŽBILJ";BIH002;BIH002004;Primary;No;44.11924362182617;18.199493408203125;
Bosnia and Herzegovina;ba;bih;41b6bc18-508d-3d6f-a949-df22df8ca1c7;"PŠ""Jezero";BIH002;BIH002004;Primary;No;44.09219741821289;18.187929153442383;
Bosnia and Herzegovina;ba;bih;a6196008-2bfb-3d50-b1d6-2d3d7e451d15;"Osnovna škola ""Rešad Kadić";BIH002;BIH002004;Primary;No;44.203372955322266;18.10027503967285;
Bosnia and Herzegovina;ba;bih;406f5d7f-22ad-32cf-a536-24c10c0801fe;"OŠ ""MULA MUSTAFA BAŠESKIJA"" KAKANJ";BIH002;BIH002004;Primary;No;44.17052459716797;18.104454040527344;
Bosnia and Herzegovina;ba;bih;d5632635-a1d6-39b7-bb02-0c8fef6755ae;"OSNOVNA ŠKOLA ""MUHSIN RIZVIĆ"" FOJNICA";BIH002;BIH002006;Primary;No;43.96602249145508;17.935117721557617;
Bosnia and Herzegovina;ba;bih;ce3ccd6f-b4cb-3ab3-9f4d-3b99b6bc6a26;"OSNOVNA ŠKOLA ""MUHSIN RIZVIĆ"" FOJNICA";BIH002;BIH002006;Primary;No;43.96955490112305;17.82782554626465;
Bosnia and Herzegovina;ba;bih;63220089-ecd8-3b4d-a971-f579e59ab16e;"OSNOVNA ŠKOLA ""MUHSIN RIZVIĆ"" FOJNICA";BIH002;BIH002006;Primary;Yes;43.95881271362305;17.90258217;
Bosnia and Herzegovina;ba;bih;3d633003-1ec9-3842-85f9-846f98db76be;"Srednja mješovita škola ""Zijah Dizdarević";BIH002;BIH002006;Secondary;Yes;43.96008301;17.901321411132812;
Bosnia and Herzegovina;ba;bih;dff41cb7-51ea-3818-96d0-cdae121cf754;"OSNOVNA ŠKOLA ""MUHSIN RIZVIĆ"" FOJNICA";BIH002;BIH002006;Primary;Yes;43.96434783935547;17.89870834350586;
Bosnia and Herzegovina;ba;bih;934eb9a6-0003-39aa-9243-1a137975a834;"Osnovna škola ""Busovača"" Busovača";BIH002;BIH002006;Primary;Yes;44.097537994384766;17.880128860473633;
Bosnia and Herzegovina;ba;bih;68535c2d-be85-3f1b-887b-472a0c8b3f76;PODRUČNA ŠKOLA ZAGRAĐE;BIH002;BIH002006;Primary;No;44.04735565185547;17.925931930541992;
Bosnia and Herzegovina;ba;bih;3b3ede3f-0272-3621-ad69-7b53c04c6678;"JU Osnovna škola ""Mehurići";BIH002;BIH002006;Primary;Yes;44.048126220703125;17.934343338012695;
Bosnia and Herzegovina;ba;bih;f617fe54-b74e-3a3c-a0af-8288e1d98c49;"JU Osnovna škola ""Mehurići";BIH002;BIH002006;Primary;Yes;44.048126220703125;17.934343338012695;
Bosnia and Herzegovina;ba;bih;6ad5efd0-cd96-3422-899d-d2a83ce0775b;OŠ Kaćuni - PŠ Bukovci;BIH002;BIH002006;Primary;Yes;44.04635238647461;17.956912994384766;
Bosnia and Herzegovina;ba;bih;8934f10b-5dda-33ac-b4f0-357d2a6aca21;"OSNOVNA ŠKOLA ""MUHSIN RIZVIĆ"" FOJNICA";BIH002;BIH002006;Primary;No;44.028175354003906;17.91388511657715;
Bosnia and Herzegovina;ba;bih;28786b8d-567e-30bc-b418-9ccb1e04f33a;Osnovna škola Kaćuni;BIH002;BIH002006;Primary;Yes;44.070899963378906;17.935312271118164;
Bosnia and Herzegovina;ba;bih;8e77f880-bc43-351b-b924-221f0d7bab4b;OŠ Kaćuni - PŠ Lugovi;BIH002;BIH002006;Primary;Yes;44.06737518310547;17.939350128173828;
Bosnia and Herzegovina;ba;bih;88a61653-1e7b-3626-b211-0e4ed83533fb;OŠ Kaćuni - PŠ Solakovići;BIH002;BIH002006;Primary;No;44.070892333984375;17.933073043823242;
Bosnia and Herzegovina;ba;bih;6b4cefb0-6308-3249-ad9c-829d75d7326d;Područna škola Šujica - OŠ Ivana Mažuranića Tomislavgrad;BIH002;BIH002010;Primary;Yes;43.83800125;17.187000274658203;
Bosnia and Herzegovina;ba;bih;24d860d8-0bb6-3464-b72d-b69e2a53a6b4;"Osnovna glazbena škola ""Franjo Serafin Vilhar"" Livno";BIH002;BIH002010;Other;Yes;43.82244110107422;17.004844665527344;
Bosnia and Herzegovina;ba;bih;301c0da4-56fb-35e8-9b9a-96975d8849fa;"Osnovna škola ""Ivan Goran Kovačić";BIH002;BIH002010;Primary;Yes;43.82231521606445;17.00503921508789;
Bosnia and Herzegovina;ba;bih;a35d26b1-88a8-3805-b035-f7a4408a07fd;"Osnovna škola ""Ivan Goran Kovačić""";BIH002;BIH002010;Primary;Yes;43.822017669677734;17.003671646118164;
Bosnia and Herzegovina;ba;bih;3fd4231d-b3bf-3095-a1a4-f1adda4cf7eb;"OŠ ""Fra Lovro Karaula"" LIvno";BIH002;BIH002010;Primary;Yes;43.82231521606445;17.00503921508789;
Bosnia and Herzegovina;ba;bih;2c2468fb-7a41-30d0-a495-ae2ba2b2d65b;Srednja strukovna škola Silvija Strahimira Kranjčevića;BIH002;BIH002010;Other;Yes;43.82589340209961;17.006710052490234;
Bosnia and Herzegovina;ba;bih;a0b0fb0d-be6d-39c7-89e4-2bcfeab72082;"Osnovna Škola ""Fra Lovro Karaula"" Livno, PŠ Dobro";BIH002;BIH002010;Primary;No;43.792884826660156;17.044780731201172;
Bosnia and Herzegovina;ba;bih;eaf21afc-4fa1-3b5f-a928-7c5806931ee8;Srednja ekonomska škola Livno;BIH002;BIH002010;Other;Yes;43.82391357421875;17.001449584960938;
Bosnia and Herzegovina;ba;bih;c5803b8e-4869-3b53-b64f-75d874ebf80b;"Osnovna Škola ""Fra Lovro Karaula"" Livno  PŠ Zagoričani";BIH002;BIH002010;Primary;No;43.78755187988281;17.099515914916992;
Bosnia and Herzegovina;ba;bih;6cd4d24d-5159-3afb-831b-7b58ef9d51f4;OŠ. ,,Fra Lovro KaraulaˇPodhum;BIH002;BIH002010;Primary;Yes;43.72498703;17.003799438476562;
Bosnia and Herzegovina;ba;bih;f3688acd-36ec-384f-a5d1-9e8d3c626392;OŠ Stjepana Radića Prisoje;BIH002;BIH002010;Primary;Yes;43.70590591430664;17.04854965209961;
Bosnia and Herzegovina;ba;bih;1597f36c-fc45-33ab-b181-dd709f5f0a5a;"Osnovna škola ""Grahovo";BIH002;BIH002010;Primary;Yes;43.729515075683594;17.032249450683594;
Bosnia and Herzegovina;ba;bih;83e804e6-f573-3f66-a9d5-1e5410eff1b6;"Osnovna Škola ""Fra Lovro Karaula"" Livno PŠ Megdan";BIH002;BIH002010;Primary;No;43.76191329956055;17.031875610351562;
Bosnia and Herzegovina;ba;bih;ef6ccbb9-91fe-3204-a70f-b7e4e75661c3;OŠ. ,,Fra Lovro Karaulaˇˇ Vidoši;BIH002;BIH002010;Primary;Yes;43.767677307128906;17.023439407348633;
Bosnia and Herzegovina;ba;bih;00bf50b7-220a-345c-b5d6-19555f7a05c1;"Osnovna Škola ""Fra Lovro Karaula"" PŠ Smričani";BIH002;BIH002010;Primary;No;43.77232742;16.998600006103516;
Bosnia and Herzegovina;ba;bih;c6e88686-66d0-37f7-b6f5-39244c2ddc0a;"Osnovna škola ""Ivan Goran Kovačić"" Livno, podučna škola Lištani";BIH002;BIH002010;Primary;Yes;43.76933288574219;17.007966995239258;
Bosnia and Herzegovina;ba;bih;cd82dc6c-e803-3895-9fa0-08cd7a55fad0;"Osnovna škola ""Ivan Goran Kovačić"" Područna škola Srđevići";BIH002;BIH002010;Primary;No;43.757381439208984;16.925281524658203;
Bosnia and Herzegovina;ba;bih;07a259c9-837d-36d6-8a82-b265c9438d2c;Gimnazija Marka Marulića Tomislavgrad;BIH002;BIH002010;Other;Yes;43.715782165527344;17.22286605834961;
Bosnia and Herzegovina;ba;bih;1fdebf4f-e6b3-348e-ad37-63d985f57156;OSNOVNA ŠKOLA FRA MIJE ČUIĆA - BUKOVICA;BIH002;BIH002010;Primary;Yes;43.71760177612305;17.219600677490234;
Bosnia and Herzegovina;ba;bih;6900c538-207b-369f-97f0-df6f37ca8fad;OSNOVNA ŠKOLA FRA MIJE ČUIĆA - BUKOVICA;BIH002;BIH002010;Primary;Yes;43.71760177612305;17.219600677490234;
