radio;mcc;net;area;cell;unit;lon;lat;range;samples;changeable;created;updated;averageSignal
GSM;218;3;40;1758;0;18.6368;43.7315;18490;105;1;1458909696;1722149762;0
GSM;218;3;40;1979;0;18.8551;43.7122;22011;81;1;1458909696;1722176109;0
GSM;218;3;40;2677;0;18.2892;43.9382;7931;4;1;1437406543;1722485282;0
GSM;218;5;6;832;0;18.0048;44.8989;6326;9;1;1458909706;1695998042;0
GSM;218;3;40;2537;0;18.5929;43.7171;1749;200;1;1458909697;1722150063;0
GSM;218;3;40;2657;0;18.6165;43.7633;8299;38;1;1458909697;1722064802;0
GSM;218;3;40;2534;0;18.3883;43.6233;15319;26;1;1458909697;1722142081;0
GSM;218;5;6;4711;0;18.0566;44.8353;6034;29;1;1458909706;1695998403;0
GSM;218;5;6;1692;0;18.0548;44.8261;6092;21;1;1458909706;1695998462;0
GSM;218;5;6;10941;0;18.0498;44.7981;4311;11;1;1458909707;1695998582;0
GSM;218;5;6;1421;0;18.0935;44.5787;10124;61;1;1458909706;1696000923;0
GSM;218;5;6;841;0;18.0888;44.7335;4251;16;1;1458909706;1695999662;0
GSM;218;5;6;4093;0;17.965;45.0678;20469;26;1;1458909706;1695996782;0
GSM;218;5;8;912;0;18.7582;43.4089;10796;15;1;1458909708;1696057802;0
GSM;218;5;6;553;0;18.0588;44.768;2958;16;1;1458909706;1695999002;0
GSM;218;5;6;5953;0;18.0235;44.4124;11073;11;1;1458909707;1696002182;0
GSM;218;5;6;11003;0;18.0654;44.8231;14713;18;1;1458909707;1695998702;0
GSM;218;5;6;12862;0;17.9615;44.3507;3466;11;1;1458909707;1696002725;0
GSM;218;5;6;11782;0;17.945;44.9151;21661;10;1;1458909707;1695997922;0
GSM;218;5;6;831;0;18.033;44.875;6523;24;1;1458909706;1695998162;0
GSM;218;5;6;552;0;18.0915;44.7471;3305;63;1;1458909706;1695999483;0
GSM;218;5;6;4713;0;18.0355;44.8679;5719;11;1;1458909706;1695998282;0
GSM;218;5;6;12861;0;17.9614;44.3528;3089;15;1;1458909707;1696002662;0
UMTS;218;3;70;219989;40;18.073;44.6952;1806;27;1;1459296108;1735964884;0
UMTS;218;3;70;217399;338;17.9628;44.3519;3570;50;1;1459296108;1735910767;0
UMTS;218;3;70;228310;201;18.0928;44.5502;1000;17;1;1459296108;1735964882;0
